fundingTime,symbol,fundingRate,markPrice
2020-01-01 00:00:00.000,BTCUSDT,-0.00012359,
2020-01-01 08:00:00.000,BTCUSDT,-0.00012383,
2020-01-01 16:00:00.000,BTCUSDT,-9.664e-05,
2020-01-02 00:00:00.002,BTCUSDT,3.662e-05,
2020-01-02 08:00:00.000,BTCUSDT,0.0001,
2020-01-02 16:00:00.000,BTCUSDT,1.04e-06,
2020-01-03 00:00:00.000,BTCUSDT,-1.664e-05,
2020-01-03 08:00:00.000,BTCUSDT,-1.553e-05,
2020-01-03 16:00:00.001,BTCUSDT,0.0001,
2020-01-04 00:00:00.000,BTCUSDT,0.0001,
2020-01-04 08:00:00.000,BTCUSDT,8.4e-07,
2020-01-04 16:00:00.000,BTCUSDT,7.387e-05,
2020-01-05 00:00:00.000,BTCUSDT,0.0001,
2020-01-05 08:00:00.000,BTCUSDT,0.0001,
2020-01-05 16:00:00.000,BTCUSDT,0.0001,
2020-01-06 00:00:00.000,BTCUSDT,0.0001,
2020-01-06 08:00:00.000,BTCUSDT,0.0001,
2020-01-06 16:00:00.000,BTCUSDT,0.0001,
2020-01-07 00:00:00.000,BTCUSDT,0.0001,
2020-01-07 08:00:00.001,BTCUSDT,0.0001,
2020-01-07 16:00:00.000,BTCUSDT,0.0001,
2020-01-08 00:00:00.000,BTCUSDT,0.00012514,
2020-01-08 08:00:00.000,BTCUSDT,0.0001,
2020-01-08 16:00:00.001,BTCUSDT,0.0001,
2020-01-09 00:00:00.000,BTCUSDT,0.0001,
2020-01-09 08:00:00.000,BTCUSDT,0.0001,
2020-01-09 16:00:00.000,BTCUSDT,0.0001,
2020-01-10 00:00:00.000,BTCUSDT,0.0001,
2020-01-10 08:00:00.000,BTCUSDT,0.0001,
2020-01-10 16:00:00.000,BTCUSDT,0.0001,
2020-01-11 00:00:00.000,BTCUSDT,0.0001,
2020-01-11 08:00:00.000,BTCUSDT,0.00017846,
2020-01-11 16:00:00.000,BTCUSDT,0.0001,
2020-01-12 00:00:00.000,BTCUSDT,0.0001,
2020-01-12 08:00:00.000,BTCUSDT,0.0001,
2020-01-12 16:00:00.000,BTCUSDT,0.0001,
2020-01-13 00:00:00.001,BTCUSDT,0.0001,
2020-01-13 08:00:00.000,BTCUSDT,0.0001,
2020-01-13 16:00:00.000,BTCUSDT,0.0001,
2020-01-14 00:00:00.000,BTCUSDT,0.0001,
2020-01-14 08:00:00.000,BTCUSDT,0.000259,
2020-01-14 16:00:00.001,BTCUSDT,0.0001,
2020-01-15 00:00:00.000,BTCUSDT,0.00049392,
2020-01-15 08:00:00.000,BTCUSDT,0.00019497,
2020-01-15 16:00:00.000,BTCUSDT,0.0001,
2020-01-16 00:00:00.000,BTCUSDT,0.0001,
2020-01-16 08:00:00.000,BTCUSDT,0.00041191,
2020-01-16 16:00:00.000,BTCUSDT,0.00031466,
2020-01-17 00:00:00.000,BTCUSDT,0.0001,
2020-01-17 08:00:00.000,BTCUSDT,0.00015027,
2020-01-17 16:00:00.000,BTCUSDT,0.00056749,
2020-01-18 00:00:00.001,BTCUSDT,0.0001,
2020-01-18 08:00:00.001,BTCUSDT,0.00029182,
2020-01-18 16:00:00.000,BTCUSDT,0.00032081,
2020-01-19 00:00:00.000,BTCUSDT,0.00020041,
2020-01-19 08:00:00.000,BTCUSDT,0.00039329,
2020-01-19 16:00:00.000,BTCUSDT,0.00092467,
2020-01-20 00:00:00.000,BTCUSDT,0.00029702,
2020-01-20 08:00:00.000,BTCUSDT,0.0001,
2020-01-20 16:00:00.000,BTCUSDT,0.00010782,
2020-01-21 00:00:00.000,BTCUSDT,0.00012057,
2020-01-21 08:00:00.000,BTCUSDT,0.00015425,
2020-01-21 16:00:00.000,BTCUSDT,0.0001574,
2020-01-22 00:00:00.000,BTCUSDT,0.0001,
2020-01-22 08:00:00.001,BTCUSDT,0.00021392,
2020-01-22 16:00:00.000,BTCUSDT,0.0001,
2020-01-23 00:00:00.000,BTCUSDT,0.0001,
2020-01-23 08:00:00.000,BTCUSDT,0.0001,
2020-01-23 16:00:00.000,BTCUSDT,0.00052304,
2020-01-24 00:00:00.000,BTCUSDT,0.00054719,
2020-01-24 08:00:00.000,BTCUSDT,0.00042124,
2020-01-24 16:00:00.001,BTCUSDT,0.00017948,
2020-01-25 00:00:00.000,BTCUSDT,0.0001,
2020-01-25 08:00:00.000,BTCUSDT,0.0001,
2020-01-25 16:00:00.001,BTCUSDT,0.0001,
2020-01-26 00:00:00.000,BTCUSDT,0.0001,
2020-01-26 08:00:00.000,BTCUSDT,0.0001,
2020-01-26 16:00:00.000,BTCUSDT,0.0001,
2020-01-27 00:00:00.000,BTCUSDT,0.0001,
2020-01-27 08:00:00.001,BTCUSDT,0.0001,
2020-01-27 16:00:00.000,BTCUSDT,0.0001,
2020-01-28 00:00:00.000,BTCUSDT,0.0001,
2020-01-28 08:00:00.000,BTCUSDT,0.00068689,
2020-01-28 16:00:00.000,BTCUSDT,0.00054394,
2020-01-29 00:00:00.001,BTCUSDT,0.00062324,
2020-01-29 08:00:00.000,BTCUSDT,0.00108193,
2020-01-29 16:00:00.002,BTCUSDT,0.00053694,
2020-01-30 00:00:00.000,BTCUSDT,0.000236,
2020-01-30 08:00:00.000,BTCUSDT,0.00024877,
2020-01-30 16:00:00.000,BTCUSDT,0.00034852,
2020-01-31 00:00:00.000,BTCUSDT,0.00053551,
2020-01-31 08:00:00.000,BTCUSDT,0.00077154,
2020-01-31 16:00:00.000,BTCUSDT,0.00039858,
2020-02-01 00:00:00.000,BTCUSDT,0.00074991,
2020-02-01 08:00:00.000,BTCUSDT,0.00065667,
2020-02-01 16:00:00.000,BTCUSDT,0.00049052,
2020-02-02 00:00:00.000,BTCUSDT,0.00028263,
2020-02-02 08:00:00.000,BTCUSDT,0.00034916,
2020-02-02 16:00:00.000,BTCUSDT,0.00065524,
2020-02-03 00:00:00.000,BTCUSDT,0.00060677,
2020-02-03 08:00:00.000,BTCUSDT,0.00035862,
2020-02-03 16:00:00.000,BTCUSDT,0.0001,
2020-02-04 00:00:00.000,BTCUSDT,0.00099282,
2020-02-04 08:00:00.001,BTCUSDT,0.0005445,
2020-02-04 16:00:00.000,BTCUSDT,0.00038192,
2020-02-05 00:00:00.002,BTCUSDT,0.0001,
2020-02-05 08:00:00.000,BTCUSDT,0.0001,
2020-02-05 16:00:00.000,BTCUSDT,0.00052631,
2020-02-06 00:00:00.000,BTCUSDT,0.00164021,
2020-02-06 08:00:00.000,BTCUSDT,0.00078299,
2020-02-06 16:00:00.000,BTCUSDT,0.00055668,
2020-02-07 00:00:00.000,BTCUSDT,0.00035618,
2020-02-07 08:00:00.000,BTCUSDT,0.00019726,
2020-02-07 16:00:00.001,BTCUSDT,0.00034616,
2020-02-08 00:00:00.000,BTCUSDT,0.00039915,
2020-02-08 08:00:00.000,BTCUSDT,0.00062858,
2020-02-08 16:00:00.000,BTCUSDT,0.00099315,
2020-02-09 00:00:00.000,BTCUSDT,0.00042798,
2020-02-09 08:00:00.000,BTCUSDT,0.00081519,
2020-02-09 16:00:00.000,BTCUSDT,0.00113954,
2020-02-10 00:00:00.000,BTCUSDT,0.00106733,
2020-02-10 08:00:00.000,BTCUSDT,0.00125022,
2020-02-10 16:00:00.009,BTCUSDT,0.00097918,
2020-02-11 00:00:00.000,BTCUSDT,0.00043989,
2020-02-11 08:00:00.000,BTCUSDT,0.00064797,
2020-02-11 16:00:00.000,BTCUSDT,0.0005012,
